DISPATCH LOCATION NAME,FPU,CALLBACK DELAY,LATITUDE,LONGITUDE,,
Lake Valley FPD Sta 5,CA_CA_006,60,38.8488,-120.0193,,
Lake Valley FPD Sta 6,CA_CA_006,60,38.904,-119.971,,
Lake Valley FPD Sta 7,CA_CA_006,60,38.8863,-120.0335,,
Lewis Mill Station,CA_CA_006,60,39.56591,-120.159,,
Lumberyard Engine Station,CA_CA_006,60,38.54905045,-120.315629,,
Meeks Bay FPD,CA_CA_006,60,39.0352,-120.1251,,
Meeks Bay Station,CA_CA_006,60,39.03968,-120.126,,
Meyers Fire Station,CA_CA_006,60,38.846,-120.02,,
Meyers Work Center,CA_CA_006,60,38.85541,-120.019,,
Mount Danaher CAL FIRE Station,CA_CA_006,60,38.74,-120.66,,
N. Lake Tahoe FPD Sta. 11,CA_CA_006,60,39.249,-119.956,,
N. Lake Tahoe FPD Sta. 12,CA_CA_006,60,39.227,-120.004,,
N. Lake Tahoe FPD Sta. 13,CA_CA_006,60,39.273,-119.949,,
N. Tahoe FPD Sta. 51,CA_CA_006,60,39.1692,-120.143,,
N. Tahoe FPD Sta. 52,CA_CA_006,60,39.2385,-120.0308,,
N. Tahoe FPD Sta. 53,CA_CA_006,30,39.0805,-120.1577,,
N. Tahoe FPD Sta. 54,CA_CA_006,60,39.1898,-120.1046,,
N. Tahoe FPD Sta. 55,CA_CA_006,60,39.2275,-120.0823,,
Nevada City CAL FIRE Station,CA_CA_006,30,39.25,-121.03,,
Pacific Ranger Station,CA_CA_006,60,38.76454368,-120.524135,,
Pilot Hill CAL FIRE Station,CA_CA_006,60,38.85,-121.01,,
Pine Grove Camp,CA_CA_006,60,38.4049,-120.6398,,
Pine Lodge CAL FIRE Station,CA_CA_006,60,38.55,-120.73,,
Pioneer FPD Sta. 38,CA_CA_006,60,38.6006,-120.7199,,
Placerville Ranger D.O.,CA_CA_006,60,38.7375,-120.6636,,
Quintette Engine Station,CA_CA_006,60,38.91604175,-120.686238,,
S. Lake Tahoe Sta. 1,CA_CA_006,60,38.941,-119.953,,
S. Lake Tahoe Sta. 2,CA_CA_006,60,38.936,-119.978,,
S. Lake Tahoe Sta. 3,CA_CA_006,60,38.9154,-120.0015,,
Sierra Springs Engine Station,CA_CA_006,60,38.70268427,-120.598138,,
Sierraville Station and RD,CA_CA_006,60,39.5879,-120.368,,
Smartsville CAL FIRE Station,CA_CA_006,60,39.2,-121.29,,
Spooner Station,CA_CA_006,60,39.09665,-119.907,,
Stampede Engine Station,CA_CA_006,60,39.46891,-120.103,,
Sutter Hill CAL FIRE Station,CA_CA_006,60,38.37,-120.81,,
Tahoe Douglas Sta. 1,CA_CA_006,60,38.9768,-119.89,,
Tahoe Douglas Sta. 3,CA_CA_006,60,38.9831,-119.9435,,
Tahoe Douglas Sta. 4,CA_CA_006,60,39.012,-119.9473,,
Tahoe Douglas Sta. 5,CA_CA_006,60,39.0749,-119.941,,
Thornton FPD,CA_CA_006,60,38.225,-121.423,,
Truckee Work Center,CA_CA_006,60,39.33091,-120.194,,
Washington Ridge CDC,CA_CA_006,30,39.3121,-120.9353,,
West Point CAL FIRE Station,CA_CA_006,30,38.4,-120.53,,
Whitecloud Station,CA_CA_006,60,39.3179,-120.84,,
Wilton FPD,CA_CA_006,60,38.433,-121.301,,
Zion CAL FIRE Station,CA_CA_006,60,38.42,-120.66,,
Ahwahnee CDF,CA_CA_007,0,37.381,-119.735,,
Alpine,CA_CA_007,60,38.475,-120.027,,
Altaville CDF,CA_CA_007,0,38.0834,-120.568,,
Arnold CDF,CA_CA_007,0,38.237,-120.365,,
Auberry Station,CA_CA_007,60,37.09739,-119.49393,,
Bailey Ridge CDF,CA_CA_007,0,38.429,-120.243,,
Bald Mountain Helibase,CA_CA_007,60,38.13938,-120.09632,,
Baseline CDF,CA_CA_007,60,37.925,-120.53,,
Bass Lake CDF,CA_CA_007,0,37.322,-119.592,,
Batterson Workcenter,CA_CA_007,60,37.37727,-119.62863,,
Big Creek Station,CA_CA_007,60,37.2011,-119.2528,,
Blanchard CDF,CA_CA_007,0,37.681,-120.365,,
Blasingame CDF,CA_CA_007,0,36.963,-119.445,,
Blue Canyon Station,CA_CA_007,60,37.03513,-119.24102,,
Blue Goose,CA_CA_007,60,37.21722222,-120.8647222,,
Brightman Station,CA_CA_007,60,38.34291,-119.84101,,
